id,week_start,location_id,store_name,dm,revenue_band,hourly_goal,source,status
584,2026-04-23,112-0031,McAlester (OK),Dottie,25k-30k,473.0,manual-lock,locked
585,2026-04-23,112-0032,Plano (TX),Miriam,25k-30k,473.0,manual-lock,locked
586,2026-04-23,112-0033,Brownwood (TX),Steve,25k-30k,473.0,manual-lock,locked
587,2026-04-23,112-0034,Marshall (TX),Miriam,25k-30k,473.0,manual-lock,locked
588,2026-04-23,112-0035,Tulsa - 51st (OK),Dottie,40k-45k,719.0,manual-lock,locked
589,2026-04-23,112-0036,Denton (TX),Steve,35k-40k,620.0,manual-lock,locked
590,2026-04-23,112-0037,McKinney - Hardin Blvd (TX),Miriam,30k-35k,559.0,manual-lock,locked
591,2026-04-23,112-0038,Ada (OK),Dottie,40k-45k,719.0,manual-lock,locked
592,2026-04-23,112-0040,Sherman,Steve,<25k,422.0,manual-lock,locked
593,2026-04-23,112-0042,Victoria,Miriam,<25k,422.0,manual-lock,locked
594,2026-04-23,112-0043,Greenville,Manny,<25k,422.0,manual-lock,locked
38,2026-03-26,112-0001,Stillwater (OK),Manny,35k-40k,588.0,initial-snapshot,locked
39,2026-03-26,112-0002,Muskogee (OK),Dottie,35k-40k,588.0,initial-snapshot,locked
40,2026-03-26,112-0003,Lawton (OK),Manny,<25k,422.0,initial-snapshot,locked
41,2026-03-26,112-0004,Ardmore (OK),Manny,<25k,422.0,initial-snapshot,locked
42,2026-03-26,112-0005,Durant (OK),Manny,<25k,422.0,initial-snapshot,locked
43,2026-03-26,112-0006,Wichita Falls (TX),Steve,30k-35k,504.0,initial-snapshot,locked
44,2026-03-26,112-0007,Gainesville (TX),Steve,<25k,422.0,initial-snapshot,locked
45,2026-03-26,112-0008,Lufkin (TX),Miriam,30k-35k,504.0,initial-snapshot,locked
46,2026-03-26,112-0009,Nacogdoches (TX),Miriam,25k-30k,420.0,initial-snapshot,locked
47,2026-03-26,112-0010,Little Elm (TX),Steve,<25k,422.0,initial-snapshot,locked
